part_number,product_url
DFS60E-S4EA00251,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60e-s4ea00251/p/p292866?tab=detail
DFS60B-S4EA00015,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60b-s4ea00015/p/p486854?tab=detail
DFS60B-BEAM05000,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60b-beam05000/p/p293795?tab=detail
DBS50E-S5AK02000,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dbs3650/dbs50e-s5ak02000/p/p333967?tab=detail
DBS36E-BAEJ00360,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dbs3650/dbs36e-baej00360/p/p665846?tab=detail
DFS25A-A2BAD001000,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs2x/dfs25a-a2bad001000/p/p394759?tab=detail
DBS60E-BJCN05000,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dbs60/dbs60e-bjcn05000/p/p451446?tab=detail
DFS25A-B2A1D001800,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs2x/dfs25a-b2a1d001800/p/p650441?tab=detail
DFS60B-S4AM07200,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60b-s4am07200/p/p327182?tab=detail
DGS80B-TYLC01024,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dgs8090/dgs80b-tylc01024/p/p669344?tab=detail
DFS60I-BHCK01024,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60i-bhck01024/p/p480866?tab=detail
DBS60E-B2EQ00100,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dbs60/dbs60e-b2eq00100/p/p363361?tab=detail
DFS60B-TFAA02500,https://www.sick.com/br/en/catalog/products/motion-control-sensors/incremental-encoders/dfs60/dfs60b-tfaa02500/p/p601752?tab=detail
